playerID,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,POS,AVG
turnerfr01,2019,LAD,NL,140,487,79,129,23,3,27,77,15,6,66,89,3B,0.265
vottojo01,2019,CIN,NL,142,494,79,151,31,1,15,47,1,0,108,124,1B,0.306
yelichch01,2019,MIL,NL,130,489,100,161,29,3,44,97,30,5,80,118,OF,0.329
acunaro01,2019,ATL,NL,156,604,127,175,22,3,41,101,37,8,76,188,OF,0.29
goldspa01,2019,STL,NL,151,545,97,159,38,2,34,97,7,2,78,137,1B,0.292
bellojo01,2019,STL,NL,141,487,73,131,26,3,26,87,3,1,46,128,SS,0.269
casteja01,2019,MIL,NL,149,554,78,154,32,5,17,73,21,4,46,90,C,0.278
peraltda01,2019,MIL,NL,109,375,65,104,22,1,20,75,0,1,39,97,3B,0.277
turneju01,2019,NYA,AL,135,484,78,133,29,3,28,80,6,2,60,130,SS,0.275
semienma01,2019,OAK,AL,162,627,123,170,34,7,33,92,10,5,87,123,SS,0.271
longori01,2019,SFN,NL,93,319,45,84,18,1,20,69,2,1,28,66,3B,0.263
cruzne02,2019,MIN,AL,120,435,64,115,20,2,41,108,0,0,44,130,DH,0.264
encarda01,2019,SEA,AL,141,504,74,134,26,1,31,100,1,1,72,136,DH,0.266
ozunama01,2019,STL,NL,130,489,80,137,23,2,29,89,12,4,56,148,OF,0.28
moncadyo01,2019,CHA,AL,132,469,83,132,34,3,25,79,10,4,44,154,3B,0.281
meadealj01,2019,TBR,AL,141,525,100,158,31,10,33,89,12,5,56,129,OF,0.301
martinke01,2019,LAD,NL,130,449,75,124,27,3,23,83,6,3,58,129,C,0.276
galvinya01,2019,SDN,NL,104,343,42,85,18,2,10,48,4,1,29,97,C,0.248
pujolal01,2019,LAA,AL,136,478,52,109,19,1,23,93,0,2,45,93,1B,0.228
cainlo01,2019,MIL,NL,144,555,73,145,24,7,11,42,20,9,40,117,OF,0.261
mcneijj01,2019,NYN,NL,133,486,83,143,38,4,23,75,4,2,53,80,OF,0.294
tatisjr01,2019,SDN,NL,84,334,61,97,13,6,22,53,16,6,38,110,SS,0.29
uribeju01,2019,FLO,NL,25,72,8,18,3,0,1,6,0,0,5,15,3B,0.25
corderjo01,2019,PHI,NL,119,443,66,118,21,2,21,71,2,2,46,131,OF,0.266
maybin01,2019,NYA,AL,82,252,48,72,9,2,8,26,24,4,31,62,OF,0.286
leblanc01,2019,SEA,AL,19,36,3,6,1,0,0,3,0,0,2,10,P,0.167
kintzke01,2019,PHI,NL,125,453,60,118,26,3,14,57,3,2,44,125,OF,0.26
profari01,2019,PHI,NL,151,545,55,144,30,2,5,45,5,3,46,118,2B,0.264
hernanel04,2019,LAD,NL,149,477,92,139,28,1,25,64,12,3,68,123,2B,0.291
sogardni01,2019,OAK,AL,152,572,89,152,31,2,21,68,9,4,68,85,SS,0.266
cummibe01,2019,CIN,NL,139,513,69,126,32,5,16,71,1,2,58,148,OF,0.246
goolsmi01,2019,ATL,NL,136,514,72,130,23,1,12,59,4,3,43,91,OF,0.253
harriky01,2019,MIA,NL,128,432,52,108,20,3,11,51,5,2,58,126,OF,0.25
winkerj01,2019,CIN,NL,113,411,72,120,28,2,16,38,4,1,66,96,OF,0.292
boehmty01,2019,LAD,NL,92,302,41,79,13,1,7,35,3,3,45,79,C,0.262
bellejo02,2019,SLN,NL,62,176,25,45,8,1,6,25,1,1,24,47,C,0.256
doming01,2019,OAK,AL,68,215,31,57,14,2,6,28,10,4,16,53,OF,0.265
mondesi01,2019,KCA,AL,102,387,60,108,21,8,9,62,43,7,14,95,SS,0.279
torresg01,2019,NYA,AL,124,437,83,119,22,2,38,90,5,4,54,99,SS,0.272
gordonae01,2019,SEA,AL,153,606,68,163,21,5,1,32,22,9,37,82,2B,0.269
martelni01,2019,HOU,AL,135,505,77,133,19,4,23,73,12,6,43,148,SS,0.263
sanchga01,2019,NYA,AL,106,364,42,91,22,0,34,77,1,0,39,118,C,0.25
sboroje01,2019,CIN,NL,71,218,34,57,11,3,9,28,5,2,24,64,OF,0.261
jonesad01,2019,ARI,NL,66,226,21,57,12,0,8,28,0,0,11,57,OF,0.252
diazya01,2019,NYN,NL,26,74,9,16,2,0,1,7,2,2,9,24,OF,0.216
herrema02,2019,CHN,NL,89,291,29,66,17,1,5,25,4,1,28,83,OF,0.227
margoju01,2019,STL,NL,155,537,66,136,38,2,10,65,3,1,45,148,OF,0.253
phegeal01,2019,OAK,AL,129,459,64,118,31,3,13,55,4,2,30,100,OF,0.257
holtbr01,2019,BOS,AL,97,296,44,81,16,3,5,32,4,2,30,61,OF,0.274
riverem02,2019,PHI,NL,67,235,23,57,13,1,5,28,0,0,25,63,C,0.243
gallizan01,2019,WAS,NL,30,88,6,21,4,0,2,11,0,0,3,24,P,0.239
hendekyl01,2019,CHN,NL,32,90,5,18,3,0,1,9,0,0,5,22,P,0.2
mayyake01,2019,ARI,NL,153,553,81,149,25,1,25,85,9,3,60,119,2B,0.269
hamptoky01,2019,COL,NL,148,536,72,145,25,4,19,81,8,5,48,131,OF,0.271
diazga01,2019,MIA,NL,130,473,55,124,23,3,11,47,5,3,52,127,OF,0.262
kiermake01,2019,SEA,AL,128,435,55,107,22,5,14,65,7,3,51,108,OF,0.246
meadeal03,2019,BAL,AL,120,436,49,107,25,2,14,61,4,3,36,100,3B,0.245
delgago01,2019,PHI,NL,128,450,68,115,27,3,19,62,7,3,57,118,1B,0.256
frazima01,2019,NYA,AL,73,255,45,70,14,3,12,38,6,3,26,74,OF,0.275
hanigma01,2019,SFN,NL,106,371,46,97,25,2,15,63,2,1,45,90,OF,0.261
gomezca02,2019,TEX,AL,115,398,47,95,16,2,9,44,10,4,28,100,OF,0.239
andrusel01,2019,TEX,AL,120,425,51,101,21,1,12,72,5,3,43,112,SS,0.238
riverma02,2019,TBR,AL,137,497,60,124,26,3,14,57,0,1,48,113,C,0.249
gordode01,2019,SEA,AL,71,265,38,75,12,4,5,22,15,5,16,48,OF,0.283
hamptonmo01,2019,ARI,NL,149,560,85,151,34,2,18,62,7,4,59,128,1B,0.27
desclch01,2019,CHN,NL,123,469,65,124,26,3,17,68,1,2,34,127,SS,0.264
smitsdo01,2019,PHI,NL,123,449,63,123,28,1,15,64,3,1,43,100,OF,0.274
pedrose02,2019,NYN,NL,120,428,65,115,25,2,11,56,4,2,65,102,OF,0.269
jansekj01,2019,ATL,NL,78,260,38,66,12,1,7,36,1,0,31,70,OF,0.254
suarezeu01,2019,CIN,NL,159,580,87,157,33,1,49,103,2,4,86,189,3B,0.271
bruceay01,2019,PHI,NL,99,340,44,81,16,1,27,64,0,0,44,109,OF,0.238
carpenma01,2019,STL,NL,45,112,14,29,5,1,4,15,0,0,19,28,1B,0.259
sanchni01,2019,MIN,AL,61,206,26,54,12,1,9,34,0,0,17,63,C,0.262
wainada01,2019,STL,NL,31,78,6,15,3,0,0,9,0,0,5,26,P,0.192
flahejo01,2019,STL,NL,33,83,4,12,2,0,0,4,0,0,3,26,P,0.145
scherma01,2019,WAS,NL,27,70,8,10,1,0,0,2,0,0,3,18,P,0.143
degrome01,2019,NYN,NL,32,76,4,11,1,0,0,2,0,0,2,20,P,0.145
clevege01,2019,CLE,AL,21,4,0,0,0,0,0,0,0,0,0,2,P,0.0
